Party voted for in last national election, France (ballot 1)
1,CPNT (Chasse, Pêche, Nature et Traditions)
2,DL (Démocratie Libérale)
3,FN (Front National)
4,LCR (ligue communiste révolutionnaire)
5,LO (Lutte ouvrière)
6,MDC (Mouvement des citoyens)
7,MNR (Mouvement National Républicain)
8,MPF (Mouvement pour la France)
9,PC (Parti communiste)
10,PS (Parti Socialiste)
11,RPF (Rassemblement du Peuple Français)
12,UMP (Union de la Majorité Présidentielle)
13,UDF (Union pour la Démocratie Française)
14,Les Verts
15,Autres mouvements écologistes
16,Autre
66,Not applicable
77,Refusal
88,Don't know
99,No answer
