Party voted for in last national election, Portugal
1,BE - Bloco de Esquerda
2,CDS/PP - Centro Democrático Social/Partido Popular
3,PCP-PEV - Partido Comunista Português - Partido Ecologista os Verdes
4,PCTP-MRPP - Partido Comunista dos Trabalhadores Portugueses - Movimento Reorganizativo do Proletariado Português
5,PDA - Partido Democrático do Atlântico
6,PH - Partido Humanista
7,PND - Partido da Nova Democracia
8,PNR - Partido Nacional Renovador
9,POUS - Partido Operário de Unidade Socialista
10,PSD - Partido Social Democrata
11,PS - Partido Socialista
12,Votou em branco / nulo
13,Outro
66,Not applicable
77,Refusal
88,Don't know
99,No answer
