Party voted for in last national election 2, Lithuania (second vote, party)
1,Lithuanian Social Democratic Party (LSDP)
2,Union of Russians of Lithuania (LRS)
3,Party 'Front' (Frontas)
4,Lithuanian Centre Party (LCP)
5,Homeland Union - Lithuanian Christian Democrats (TS-LKD)
6,New Union (Social Liberals) (NS)
7,Party of Civic Democracy (PDP)
8,Electoral Action of Poles in Lithuania (LLRA)
9,National Resurrection Party (TPP)
10,Labour Party (DP)
11,Labourist Party (LP)
12,Liberals' Movement of the Republic of Lithuania (LRLS)
13,Lithuanian Peasant Popular Union (LVLS)
14,Party Order and Justice (TT)
15,Liberal and Centre Union (LiCS)
16,Party 'Young Lithuania' (JL)
17,Lithuanian Social Democratic Union (LSDS)
18,Lithuanian Freedom Union (LLS)
19,Lithuanian People's Union 'For the Fair Lithuania' (UTL)
20,Independent/Self-Nominated
44,Did not vote for a candidate in the 1st round
55,Does not know if voted for a candidate in the 1st round
66,Not applicable
77,Refusal
88,Don't know
99,No answer
