Party voted for in last national election 1, Lithuania (first vote, party)
1,Liberals' Movement of the Republic of Lithuania (LRLS)
2,Republican Party (RP)
3,Labour Party (DP)
4,Democratic Labour and Unity Party (DDVP)
5,Homeland Union - Lithuanian Christian Democrats (TS-LKD)
6,Political Party 'The Way of Courage' (DK)
7,Electoral Action of Poles in Lithuania (LLRA)
8,Lithuanian Social Democratic Party (LSDP)
9,Party Order and Justice (TT)
10,National Association 'For Lithuania in Lithuania' (ULL)
11,Christian Party (KP)
12,Lithuanian People's Party (LZP)
13,Socialist People's Front (SLF)
14,Lithuanian Peasant and Greens Union (LVZS)
15,Party 'Young Lithuania' (JL)
16,Liberal and Centre Union (LiCS)
17,Emigrants' Party (EP)
18,Political Party 'Union Yes' (ST)
44,Did not vote for a candidate list
55,Does not know if voted for a candidate list
66,Not applicable
77,Refusal
88,Don't know
99,No answer
