Party voted for in last national election, Spain
1,Partido Popular - PP (con UPN en Navarra)
2,Partido Socialista Obrero Español (PSOE)
3,Convergència i Unió (CiU)
4,Izquierda Unida (IU) - (ICV en Cataluña)
5,AMAIUR
6,Unión, Progreso y Democracia (UPyD)
7,Partido Nacionalista Vasco (PNV)
8,Esquerra Republicana de Catalunya (ERC)
9,Bloque Nacionalista Galego (BNG)
10,Coalición Canaria - Nueva Canarias
11,Compromís - EQUO
12,Foro de Ciudadanos
13,Geroa Bai
14,Otros
15,Votó en blanco
16,Votó nulo
66,Not applicable
77,Refusal
88,Don't know
99,No answer
