Party voted for in last national election, Kosovo
1,Lidhja Demokratike e Kosovës (LDK)
2,Partia Demokratike e Kosovës (PDK)
3,Lëvizja Vetëvendosje (VV)
4,Aleanca për Ardhmërinë e Kosovës (AAK)
5,Partia e Drejtësisë (PD)
6,Aleanca Kosova e Re (AKR)
7,Other
8,Srpska Napredna Stranka (SNS)
9,Demokratska Stranka (DS)
10,Demokratska Stranka Srbije (DSS)
11,Socialisticka Partija Srbije (SPS)
12,Liberalno Demokratska Partija (LDP)
13,Srpska Liberalna Stranka (SLS)
66,Not applicable
77,Refusal
88,Don't know
99,No answer
