Party voted for in last national election, Slovenia
1,DESUS - Demokraticna stranka upokojencev Slovenije
2,DL - Državljanska lista
3,NSI - Nova Slovenija – Kršcanski demokrati
4,PS - Pozitivna Slovenija
5,SD - Socialni demokrati
6,SDS - Slovenska demokratska stranka
7,SLS  - Slovenska ljudska stranka
8,SMC - Stranka Mira Cerarja
9,VERJAMEM - Stranka Igorja Šoltesa
10,ZAAB - Zavezništvo Alenke Bratušek
11,ZL - Združena levica (DSD, IDS in Stranka TRS)
12,Other party
66,Not applicable
77,Refusal
88,Don't know
99,No answer
