Party voted for in last national election 3, Lithuania (third vote, party)
1,Lithuanian Social Democratic Party (LSDP)
2,Homeland Union - Lithuanian Christian Democrats (TS-LKD)
3,Lithuanian Freedom Union (Liberals) (LLSL)
4,Party 'Young Lithuania' (JL)
5,Nationalist Union (TS)
6,Party Order and Justice (TT)
7,Lithuanian Peasant and Greens Union (LVZS)
8,Liberals' Movement of the Republic of Lithuania (LRLS)
9,Labour Party (DP)
10,Political Party 'The Way of Courage' (DK)
11,Lithuanian People's Party (LLP)
12,Electoral Action of Poles in Lithuania-Christian Families Alliance (LLRA-KSS)
13,Lithuanian Greens Party (LZP)
14,Political Party 'List of Lithuania' (LS)
15,Lithuanian Centre Party (LCP)
16,Lithuanian Pensioners' Party (LPP)
17,Independent/Self-Nominated
60,No 2nd round in single-member constituency
61,Did not vote for a single-member constituency candidate list, 2nd round
62,Refused to tell if voted for a single-member constituency candidate list, 2nd round
63,Don't know if voted for a single-member constituency candidate list, 2nd round
66,Not applicable
77,Refusal
88,Don't know
99,No answer
