Party voted for in last national election, Denmark
1,Socialdemokratiet - The Social democrats
2,Det Radikale Venstre - The Radical Liberal Party
3,Det Konservative Folkeparti - Conservative People's Party
4,SF Socialistisk Folkeparti - Socialist People's Party
5,Dansk Folkeparti - Danish People's Party
6,Kristendemokraterne - Christian Democrats
7,Venstre, Danmarks Liberale Parti - The Liberal Party
8,Liberal Alliance - Liberal Alliance
9,Enhedslisten - Unity List - The Red-Green Alliance
10,Alternativet - The Alternative
11,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
