Party voted for in last national election, Serbia
1,Aleksandar Vučić-Srbija pobeđuje
2,Boris Tadic, Cedomir Jovanovic - Savez za bolju Srbiju - LDP, LSV, SDS
3,Borko Stefanović - Srbija za sve nas
4,Dosta je bilo - Saša Radulović
5,Dr Vojislav Šešelj - Srpska radikalna stranka
6,Dveri - Demokratska stranka Srbije - Sanda Rašković Ivić - Boško Obradović
7,Ivica Dačić - ''Socijalistička partija Srbije (SPS), Jedinstvena Srbija (JS)-Dragan Marković Palma
8,Muamer Zukorlić - Bošnjačka demokratska zajednica Sandžak
9,Partija za demokratsko delovanje - Ardita Sinani/ Partia për vertim demokratik - Ardita Sinani
10,SDA Sandžaka - Dr. Sulejman Ugljanin
11,Vajdasági Magyar Szövetség-Pásztor István - Savez vojvođanskih Mađara - Ištvan Pastor
12,Za pravednu Srbiju - Demokratska stranka (NOVA, DSHV, ZZS)
13,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
